Corpus docs,N,Refusal %,E1,E4,Zero-error %,Docs cited,Body words,Word metric
10,25,0.0,0 +/- 0,0 +/- 0,100,9.44 +/- 0.51,1540.44 +/- 282.11,corrected_review_body
25,25,0.0,0 +/- 0,0 +/- 0,100,14.24 +/- 2.5,1859.12 +/- 359.42,corrected_review_body
50,25,0.0,0 +/- 0,0 +/- 0,100,14.72 +/- 2.53,1843.04 +/- 253.95,corrected_review_body
